点号,相对时间(微秒),  1:010AUA(V),  2:010AUB(V),  3:010AUC(V),  4:010AU0(V),  5:010BIA(A),  6:010BIB(A),  7:010BIC(A),  8:010BI0(A)
1,-80028.000,-4.900000,5.940000,3.330000,1.450000,-1.470000,0.760000,0.320000,-0.130000
2,-79872.000,-4.910000,5.720000,3.660000,1.490000,-1.510000,0.740000,0.380000,-0.130000
3,-79716.000,-4.920000,5.480000,3.980000,1.510000,-1.540000,0.720000,0.410000,-0.130000
4,-79560.000,-4.890000,5.210000,4.290000,1.530000,-1.550000,0.690000,0.460000,-0.130000
5,-79404.000,-4.880000,4.930000,4.580000,1.540000,-1.550000,0.650000,0.500000,-0.130000
6,-79248.000,-4.840000,4.670000,4.850000,1.560000,-1.550000,0.600000,0.540000,-0.130000
7,-79092.000,-4.780000,4.410000,5.070000,1.560000,-1.550000,0.560000,0.580000,-0.130000
8,-78936.000,-4.750000,4.180000,5.330000,1.580000,-1.550000,0.520000,0.610000,-0.140000
9,-78780.000,-4.710000,3.930000,5.570000,1.590000,-1.570000,0.500000,0.640000,-0.140000
10,-78624.000,-4.660000,3.650000,5.800000,1.590000,-1.590000,0.480000,0.680000,-0.140000
11,-78468.000,-4.590000,3.360000,6.030000,1.600000,-1.600000,0.440000,0.720000,-0.140000
12,-78312.000,-4.510000,3.060000,6.240000,1.590000,-1.600000,0.390000,0.760000,-0.150000
13,-78156.000,-4.410000,2.750000,6.420000,1.580000,-1.590000,0.330000,0.800000,-0.150000
14,-78000.000,-4.310000,2.460000,6.580000,1.570000,-1.560000,0.250000,0.840000,-0.150000
15,-77844.000,-4.210000,2.140000,6.750000,1.560000,-1.520000,0.160000,0.880000,-0.160000
16,-77688.000,-4.090000,1.830000,6.900000,1.540000,-1.480000,0.090000,0.910000,-0.160000
17,-77532.000,-3.940000,1.490000,7.050000,1.530000,-1.440000,0.020000,0.940000,-0.160000
18,-77376.000,-3.800000,1.150000,7.180000,1.510000,-1.400000,-0.030000,0.940000,-0.160000
19,-77220.000,-3.620000,0.810000,7.290000,1.490000,-1.330000,-0.120000,0.960000,-0.160000
20,-77064.000,-3.450000,0.470000,7.390000,1.470000,-1.280000,-0.190000,0.980000,-0.160000
21,-76908.000,-3.260000,0.100000,7.480000,1.440000,-1.230000,-0.260000,1.000000,-0.160000
22,-76752.000,-3.060000,-0.210000,7.540000,1.420000,-1.200000,-0.330000,1.020000,-0.170000
23,-76596.000,-2.860000,-0.520000,7.570000,1.390000,-1.180000,-0.390000,1.040000,-0.170000
24,-76440.000,-2.640000,-0.830000,7.560000,1.360000,-1.160000,-0.430000,1.070000,-0.170000
25,-76284.000,-2.380000,-1.140000,7.530000,1.330000,-1.140000,-0.460000,1.080000,-0.170000
26,-76128.000,-2.120000,-1.450000,7.490000,1.300000,-1.110000,-0.500000,1.080000,-0.170000
27,-75972.000,-1.860000,-1.750000,7.440000,1.270000,-1.060000,-0.540000,1.070000,-0.170000
28,-75816.000,-1.620000,-2.020000,7.360000,1.240000,-1.000000,-0.590000,1.040000,-0.180000
29,-75660.000,-1.370000,-2.280000,7.270000,1.200000,-0.950000,-0.620000,1.020000,-0.180000
30,-75504.000,-1.130000,-2.560000,7.200000,1.170000,-0.930000,-0.650000,1.020000,-0.180000
31,-75348.000,-0.880000,-2.840000,7.110000,1.130000,-0.910000,-0.680000,1.030000,-0.180000
32,-75192.000,-0.610000,-3.120000,7.020000,1.090000,-0.880000,-0.730000,1.050000,-0.180000
33,-75036.000,-0.370000,-3.380000,6.890000,1.040000,-0.850000,-0.780000,1.050000,-0.190000
34,-74880.000,-0.110000,-3.640000,6.750000,1.000000,-0.790000,-0.840000,1.040000,-0.190000
35,-74724.000,-0.340000,-3.870000,6.630000,0.800000,-0.200000,-0.990000,0.890000,-0.100000
36,-74568.000,-0.060000,-4.370000,6.270000,0.610000,1.030000,-0.900000,1.000000,0.370000
37,-74412.000,-0.040000,-4.530000,6.110000,0.510000,2.050000,-0.540000,1.330000,0.940000
