点号,相对时间(微秒),  1:010AUA(V),  2:010AUB(V),  3:010AUC(V),  4:010AU0(V),  5:010BIA(A),  6:010BIB(A),  7:010BIC(A),  8:010BI0(A)
1,-80028.000,-6.070000,1.200000,4.830000,-0.010000,-2.170000,1.200000,0.940000,-0.010000
2,-79872.000,-6.040000,0.860000,5.000000,-0.060000,-2.180000,1.100000,1.030000,-0.010000
3,-79716.000,-5.990000,0.550000,5.140000,-0.100000,-2.190000,1.010000,1.140000,-0.010000
4,-79560.000,-5.930000,0.220000,5.290000,-0.140000,-2.200000,0.910000,1.240000,-0.010000
5,-79404.000,-5.840000,-0.090000,5.360000,-0.190000,-2.190000,0.820000,1.310000,-0.020000
6,-79248.000,-5.750000,-0.440000,5.480000,-0.230000,-2.160000,0.720000,1.380000,-0.020000
7,-79092.000,-5.650000,-0.770000,5.590000,-0.270000,-2.110000,0.610000,1.450000,-0.010000
8,-78936.000,-5.540000,-1.090000,5.680000,-0.310000,-2.040000,0.480000,1.510000,-0.010000
9,-78780.000,-5.420000,-1.400000,5.770000,-0.350000,-1.960000,0.350000,1.560000,-0.010000
10,-78624.000,-5.270000,-1.730000,5.840000,-0.380000,-1.890000,0.220000,1.600000,-0.020000
11,-78468.000,-5.100000,-2.080000,5.880000,-0.430000,-1.810000,0.100000,1.660000,-0.010000
12,-78312.000,-4.900000,-2.420000,5.910000,-0.470000,-1.740000,-0.020000,1.710000,-0.010000
13,-78156.000,-4.670000,-2.750000,5.900000,-0.500000,-1.690000,-0.150000,1.780000,-0.020000
14,-78000.000,-4.420000,-3.050000,5.840000,-0.540000,-1.630000,-0.270000,1.850000,-0.010000
15,-77844.000,-4.160000,-3.380000,5.790000,-0.580000,-1.570000,-0.380000,1.900000,-0.010000
16,-77688.000,-3.900000,-3.710000,5.760000,-0.610000,-1.500000,-0.480000,1.930000,-0.010000
17,-77532.000,-3.650000,-4.010000,5.720000,-0.640000,-1.430000,-0.590000,1.960000,-0.020000
18,-77376.000,-3.400000,-4.280000,5.670000,-0.670000,-1.370000,-0.680000,1.990000,-0.020000
19,-77220.000,-3.160000,-4.520000,5.610000,-0.690000,-1.310000,-0.770000,2.020000,-0.020000
20,-77064.000,-2.920000,-4.740000,5.540000,-0.700000,-1.270000,-0.820000,2.030000,-0.020000
21,-76908.000,-2.670000,-4.980000,5.460000,-0.730000,-1.220000,-0.880000,2.050000,-0.010000
22,-76752.000,-2.400000,-5.220000,5.360000,-0.750000,-1.170000,-0.960000,2.060000,-0.020000
23,-76596.000,-2.110000,-5.440000,5.240000,-0.770000,-1.090000,-1.050000,2.080000,-0.020000
24,-76440.000,-1.830000,-5.670000,5.130000,-0.790000,-1.010000,-1.140000,2.090000,-0.020000
25,-76284.000,-1.550000,-5.850000,5.000000,-0.800000,-0.910000,-1.250000,2.100000,-0.020000
26,-76128.000,-1.270000,-6.020000,4.840000,-0.810000,-0.810000,-1.350000,2.100000,-0.020000
27,-75972.000,-0.970000,-6.220000,4.700000,-0.830000,-0.710000,-1.430000,2.080000,-0.020000
28,-75816.000,-0.690000,-6.390000,4.540000,-0.840000,-0.600000,-1.500000,2.040000,-0.020000
29,-75660.000,-0.410000,-6.510000,4.370000,-0.850000,-0.500000,-1.550000,1.980000,-0.020000
30,-75504.000,-0.150000,-6.620000,4.210000,-0.850000,-0.400000,-1.590000,1.930000,-0.020000
31,-75348.000,0.150000,-6.800000,4.020000,-0.870000,-0.290000,-1.630000,1.880000,-0.010000
